id,url,platform,format,product,author,title,excerpt,scenario_tag,language,date,featured_placements,sort,z_index,thumbnail_override,thumbnail_cdn,fetch_date,fetch_status,action_status
post-x-nemanja,https://twitter.com/nemanjan00/status/1872243307839103175,x,post,minikvm,Nemanja (@nemanjan00),"New toy, from @TechxArtisan","New toy, from @TechxArtisan 😍",,en,2024-12-26,,120,120,https://pbs.twimg.com/media/GfuLXd0W0AAuBfo?format=jpg&name=medium,https://pbs.twimg.com/media/GfuLXd0W0AAuBfo?format=jpg&name=medium,2026-07-03T03:59:40.621Z,manual,2
post-x-tsukkkkkun-usage,https://twitter.com/tsukkkkkun/status/1885503399095132621,x,post,minikvm,うんちゃま (@tsukkkkkun),openterface mini-kvmの正しい使用方法,openterface mini-kvmの正しい使用方法,,ja,2025-02-01,,130,130,https://pbs.twimg.com/media/GiqnV75bYAEyv5c?format=jpg&name=medium,https://pbs.twimg.com/media/GiqnV75bYAEyv5c?format=jpg&name=medium,2026-07-03T03:59:40.621Z,manual,2
post-x-matsuu-switch,https://twitter.com/matsuu/status/1842440088229478435,x,post,minikvm,matsuu (@matsuu),Openterface Mini-KVMはゲームもいける,Openterface Mini-KVMは「最大1920x1080@30Hzのビデオ出力をサポートし、遅延は140ミリ秒未満」なのでゲームもいける。Nintendo Switchに接続してみたが体感的にも遅延を感じないレベル。音も出ます。USB接続のHDMIキャプチャとしても優秀。,,ja,2024-10-05,,140,140,https://pbs.twimg.com/ext_tw_video_thumb/1842439843168854016/pu/img/yWsJ0Ne1qT_sYE1W?format=jpg&name=medium,https://pbs.twimg.com/ext_tw_video_thumb/1842439843168854016/pu/img/yWsJ0Ne1qT_sYE1W?format=jpg&name=medium,2026-07-03T03:59:40.621Z,manual,2
post-x-tsukkkkkun-unexpected,https://twitter.com/tsukkkkkun/status/1836702683845341553,x,post,minikvm,うんちゃま (@tsukkkkkun),想定外の使われ方にドン引きしているOpenterface Mini-KVMくん,これは恐らく想定外の使われ方にドン引きしていると思われるOpenterface Mini-KVMくん,,ja,2024-09-19,,150,150,https://pbs.twimg.com/media/GX1HWChb0AAf6gz?format=jpg&name=medium,https://pbs.twimg.com/media/GX1HWChb0AAf6gz?format=jpg&name=medium,2026-07-03T03:59:40.621Z,manual,2
post-x-openterface-reply,https://twitter.com/Openterface/status/1832027435254346206,x,post,minikvm,Gibbyの冒険 (@Openterface),Veulxさんの素晴らしいツイートのおかげで,本当にありがとうございます！🙏✨ Veulxさんの素晴らしいツイートのおかげで、私たちの製品が多くの方に届くことを心から嬉しく思います。,,ja,2024-09-06,,160,160,https://pbs.twimg.com/media/GVqryuKWcAAqoal?format=jpg&name=medium,https://pbs.twimg.com/media/GVqryuKWcAAqoal?format=jpg&name=medium,2026-07-03T03:59:40.621Z,manual,2
post-x-cnxsoft-kvmgo,https://twitter.com/cnxsoft/status/2008040200359051463,x,post,kvm-go,CNX Software (@cnxsoft),"Video cable-free, KVM-over-USB with built-in HDMI, DisplayPort, or VGA connector","Video cable-free, KVM-over-USB with built-in HDMI, DisplayPort, or VGA connector. Small enough to fit on a keychain, Openterface KVM-GO features USB-C ports for target and host connection, a microSD card slot for easy OS installation, and enables headless device troubleshooting.",,en,2026-01-05,,200,200,https://pbs.twimg.com/media/G9392stbIAAYJmX?format=jpg&name=medium,https://pbs.twimg.com/media/G9392stbIAAYJmX?format=jpg&name=medium,2026-07-03T03:59:40.621Z,manual,2
post-x-hacksterio-kvmgo,https://twitter.com/Hacksterio/status/2007197837713649869,x,post,kvm-go,Hackster.io (@Hacksterio),"Openterface's KVM-GO is a pocket-sized, open source tool","Openterface's KVM-GO is a pocket-sized, open source tool for hardware-level access to headless computers.",,en,2026-01-02,,210,210,https://pbs.twimg.com/card_img/2060318126026510336/yC4lohuc?format=jpg&name=600x314,https://pbs.twimg.com/card_img/2060318126026510336/yC4lohuc?format=jpg&name=600x314,2026-07-03T03:59:40.621Z,manual,2
post-x-techxartisan-kvmgo-vacation,https://twitter.com/TechxArtisan/status/1985916984161165793,x,post,kvm-go,TechxArtisan (@TechxArtisan),KVM-GO HDMI on vacation — pocket-sized travel tech,"Our beta tester brelade brought the KVM-GO HDMI along on vacation, proving it's truly pocket-sized travel tech! ☀️ Wait... What? Gran Canaria? That ocean view? Gosh… we're jealous! 🌊😎",,en,2025-11-05,,220,220,https://pbs.twimg.com/media/G4zR8ahXIAA4CSf?format=jpg&name=medium,https://pbs.twimg.com/media/G4zR8ahXIAA4CSf?format=jpg&name=medium,2026-07-03T03:59:40.621Z,manual,2
post-x-techxartisan-kvmgo-raspberry-pi,https://twitter.com/TechxArtisan/status/1985549814596321436,x,post,kvm-go,TechxArtisan (@TechxArtisan),Clean Raspberry Pi setup using KVM-GO HDMI,"Our beta tester Stavros shared this clean Raspberry Pi setup using KVM-GO HDMI via HDMI-to-micro-HDMI. EXACTLY what our KVM-over-USB was made for ⚡ If you tinker with SBCs a lot, you know how convenient this setup is. What other use cases can you imagine for our gadget? 👀",,en,2025-11-04,,230,230,https://pbs.twimg.com/media/G4zSUBMXsAABu0w?format=jpg&name=medium,https://pbs.twimg.com/media/G4zSUBMXsAABu0w?format=jpg&name=medium,2026-07-03T03:59:40.621Z,manual,2
post-x-techxartisan-kvmgo-halloween,https://twitter.com/TechxArtisan/status/1985183422583808482,x,post,kvm-go,TechxArtisan (@TechxArtisan),Halloween setup with KVM-GO HDMI on uConsole,"Our awesome beta tester, Rex, shared this perfect Halloween setup. His uConsole rocking our KVM-GO HDMI in matching orange vibes 🎃🧡 Even after Halloween, love how the community keeps things creative and spirited. Big thanks to everyone building, testing, and sharing with us!",,en,2025-11-03,,240,240,https://pbs.twimg.com/media/G4zJxwnbAAAMXVW?format=jpg&name=medium,https://pbs.twimg.com/media/G4zJxwnbAAAMXVW?format=jpg&name=medium,2026-07-03T03:59:40.621Z,manual,2
